,,,,,,,,
,,,,,ARCHIVE,,,
,TYPE OF PROJECT,VIDEO,FOTO,,TITTLE,CLIENT,YEAR,PRODUCTION COMPANY
,,,,,,,,
,MUSIC VIDEO,https://vimeo.com/307361595?share=copy,-,1,Cuándo Será,Aloe,2021,Pantera
,MUSIC VIDEO,https://vimeo.com/1105583375,https://drive.google.com/file/d/1TBdmTWb4eox4awQtvmb5e1ZQ0eHpPtCn/view?usp=drive_link,2,Cosas para decirte,Conociendo Rusia,2021,Pantera
,COMMERCIAL,https://vimeo.com/1104834409,https://drive.google.com/file/d/1jF0lmDsYqgmPSSZ6-4s4pao-9LVJWRO1/view?usp=drive_link,3,Deporte&Casino,Betwarrior,2024,Mamahungara
,MUSIC VIDEO,https://vimeo.com/755400480?share=copy,-,4,Si Quieren Frontear,Duki ft De la Ghetto ft Quevedo,2022,Anestesia
,NARRATIVE,https://vimeo.com/1105581843,https://drive.google.com/file/d/1ZLX_vgoC8-fGtmfFn4N1rqyiGX5U4Qve/view?usp=drive_link,5,Sofia Poncini,El Planetario,2025,Rebolucion
,MUSIC VIDEO,https://vimeo.com/822866131?share=copy,-,6,Antes de perderte,Duki,2022,Anestesia
,SET DESIGN,-,https://drive.google.com/drive/folders/1aWFkiD2qHrEE4WTsA1T_NqvQ2TyRT4nd?usp=drive_link,7,FW25 Accessories,Jazmin Chebar,2024,
,SET DESIGN,-,https://drive.google.com/drive/folders/1G319-hWik2gUfIHzN_vESE_CA0O7x2BR?usp=drive_link,8,Fashion Week,Puma,2024,
,COMMERCIAL,https://vimeo.com/1105215017?share=copy,https://drive.google.com/file/d/1yJFZjFiEKnly4JFq2rM6-29wY3KNnKr5/view?usp=drive_link,9,Eran otros tiempos,Quilmes,2024,The Movement / Landia
,MUSIC VIDEO,https://vimeo.com/1105232304,https://drive.google.com/file/d/1wy2vISx3defyzMstAk3lOvq_1--kuS5f/view?usp=sharing,10,Automatico,Maria Becerra,2022,Asalto
,COMMERCIAL,https://vimeo.com/1105216924,https://drive.google.com/file/d/1ZHQYiqzaTIGpikcNmA6h3e592v9mUrZb/view?usp=drive_link,11,BZRP x New Era,MercadoLibre,2023,The Movement / Landia
,MUSIC VIDEO,https://vimeo.com/1105541639,https://drive.google.com/file/d/1_SW3c_-jh0ZPxvtsuR6sMLhTzL0ZwjbR/view?usp=drive_link,12,Corazón Vacío,Maria Becerra,2023,Asalto
,COMMERCIAL,https://vimeo.com/1104831186,https://drive.google.com/file/d/1A2algiGIDEmVspfqD76cIawfZBh9Dbf3/view?usp=drive_link,13,Kilometros que nos mueven,Bonafont,2024,Mamahungara
,MUSIC VIDEO,https://vimeo.com/1105551615,https://drive.google.com/file/d/160VNJ6qkpZXzyzIMNMYayziq_8YUXF2H/view?usp=drive_link,14,Mismo Amor,Julieta Venegas,2022,La Casa de Al Lado
,MUSIC VIDEO,-,https://drive.google.com/drive/folders/1x2NtYAdxJiSNMiuGTztTo2J8b5t79pBb?usp=drive_link,15,Primer Aviso,Maria Becerra,2024,Asalto
,COMMERCIAL,https://vimeo.com/1104832438,https://drive.google.com/file/d/1kulqYBhr6r503uJg3iKl6s_Horm_FRHd/view?usp=drive_link,16,Maria Becerra,Spotify,2024,The Movement / Landia
,MUSIC VIDEO,-,https://drive.google.com/drive/folders/1WC7KOGQHY63fDKZQDckxXgdssnDmiwS1?usp=drive_link,17,Iman,Maria Becerra,2024,Asalto
,SET DESIGN,-,https://drive.google.com/drive/folders/1k9jYl3UoFQmdikqJFpiOXyKC7EHZi6DM?usp=drive_link,18,Iman Set Design,Maria Becerra,2024,
,SET DESIGN,-,https://drive.google.com/drive/folders/1y-b9ea04WkOsGt1nIKdkd6K0yra_zO6D?usp=drive_link,19,Pop Up Store,Luna Alvarez Castillo,2024,
,MUSIC VIDEO,https://vimeo.com/1105205319,https://drive.google.com/file/d/1AgxcZ_f6ZYOH0f4PJJva8nOnyApQhMQ3/view?usp=drive_link,20,En tu orilla,Julieta Venegas,2022,La Casa de Al Lado
,COMMERCIAL,https://vimeo.com/1104832157,https://drive.google.com/file/d/1VpCObCmP65oPDa1r-0X_5FEb-tXodY7Z/view?usp=drive_link,21,Personal Flow,Personal,2024,Poster
,MUSIC VIDEO,https://vimeo.com/1104805005,https://drive.google.com/file/d/1oY7Gzpl13nqph6Q0tmOv3YrNchroHO_3/view?usp=drive_link,22,Sola,Chita,2024,The Movement / Landia
,MUSIC VIDEO,https://vimeo.com/1104809837,https://drive.google.com/file/d/1trWqkV95wKkXv56bUJJEEqsVWjGADjlg/view?usp=drive_link,23,Más Feliz,Saramalacara,2024,Castadiva
,SET DESIGN,-,https://drive.google.com/drive/folders/1Ru6RTm-Ror4K3MpNJvxbUVGy2HX-9jtt?usp=drive_link,24,Editorial,Ries,2024,
,MUSIC VIDEO,https://vimeo.com/1104813074,https://drive.google.com/file/d/1eXQJBDa23J1A89YWuuRB8C_FbfaOMC6H/view?usp=drive_link,25,S.O.S,Taichu ft. Lali,2024,Castadiva
,COMMERCIAL,https://vimeo.com/1104833147,https://drive.google.com/file/d/1hYbYNHQKIyP27bHYsSeeterrP2F3rErG/view?usp=drive_link,26,Dillom,Spotify,2024,Poster
,MUSIC VIDEO,https://vimeo.com/1104814473,https://drive.google.com/file/d/1VdMM-TJjlyDCeC0d8YTXlrmFxyXl5JN5/view?usp=drive_link,27,Buenos Tiempos,Dillom,2024,Poster
,MUSIC VIDEO,https://vimeo.com/1104825407,https://drive.google.com/file/d/1xZZYYpE8j8DfIwMOUWy1A-GalzvFc7Bv/view?usp=drive_link,28,Cirugia,Dillom,2024,Poster
,SET DESIGN,-,https://drive.google.com/drive/folders/1QEBucL1OJBlWOqDQdWySM3gO0KnbcAW1?usp=drive_link,29,Window Installation,Ay Not Dead,2024,
,COMMERCIAL,https://vimeo.com/1104836204,https://drive.google.com/file/d/1_xBJiB8KEngogwHdTVGlg_JGFvBMU-7g/view?usp=drive_link,30,Breast Cancer Campaign,Macma,2024,Poster
,MUSIC VIDEO,https://vimeo.com/1108924557?share=copy,https://drive.google.com/drive/folders/1P2uLSTUkBZlI-SYEHI70R7wtZA3Z9FDw?usp=drive_link,31,Templo de Piceas,Sebastián Yatra,2024,
,MUSIC VIDEO,https://vimeo.com/1104826248,https://drive.google.com/file/d/1-2FBBuyTjY2GoTr1mhl_sur7JQ249ia4/view?usp=drive_link,32,Ali Oli,Milo J,2024,Arena Collective
,SET DESIGN,-,https://drive.google.com/drive/folders/1-9kWC_QD1xusVPSQ5h8PE0lpfjIMhW7c?usp=drive_link,33,Ali Oli Set Design,Milo J,2024,
,COMMERCIAL,https://vimeo.com/1104836953,https://drive.google.com/file/d/1SqfNKX4iHJKNrkiou9lzr5Zt7K18PYmI/view?usp=drive_link,34,Punk,Lollapalooza,2024,Poster
,MUSIC VIDEO,https://vimeo.com/1104829795,https://drive.google.com/file/d/17Qno-CX9uuu6fTU7OXfF4MfdkW1lMAmp/view?usp=drive_link,35,La Pelirroja,Sebastián Yatra,2025,The Movement / Landia
,MUSIC VIDEO,https://youtu.be/OA3KsYPhZbw?si=5rCTRqlDGNhVDY5y,-,36,Con Otra,Cazzu,2025,
,COMMERCIAL,https://vimeo.com/1104833742,https://drive.google.com/file/d/16RR6Cm7ZdAH27wHsWd3K1UgwSshpSOMR/view?usp=drive_link,37,Marilina Bertoldi,Spotify,2024,Poster
,NARRATIVE,-,https://drive.google.com/drive/folders/13_JN7T0EdewrNx_nGp317Tf7cuJ4g99E?usp=drive_link,38,Fernando Rodriguez,Las Lomas,2025,
,MUSIC VIDEO,https://vimeo.com/1104827196,https://drive.google.com/file/d/1V2F8hCn7m5VTLEOpH7OIFgc8RgyKIihk/view?usp=drive_link,39,Tres Pecados Después,Milo J,2024,Arena Collective
