CATEGORIA,VIDEO,ARTISTA,NOMBRE_DEL_TEMA,AÑO,PRODUCTION_COMPANY
MUSIC VIDEOS,https://vimeo.com/1085539087?share=copy,SEBASTIAN YATRA,TEMPLO DE PICEAS,2025,THE MOVEMENT / LANDIA
MUSIC VIDEOS,https://vimeo.com/1068952865?share=copy,SEBASTIAN YATRA,LA PELIROJA,2025,THE MOVEMENT / LANDIA
MUSIC VIDEOS,https://vimeo.com/1088054650?share=copy,BLAIR,BAR SCORPIOS,2025,POSTER
MUSIC VIDEOS,https://vimeo.com/1004201478,MILO J,TRES PECADOS DESPUES,2024,ARENA COLLECTIVE
MUSIC VIDEOS,https://vimeo.com/1004203470,MILO J,ALI OLI,2024,ARENA COLLECTIVE
MUSIC VIDEOS,https://vimeo.com/1056379987?share=copy,DILOM,CIRUGIA,2024,POSTER
MUSIC VIDEOS,https://vimeo.com/976712517?share=copy,DILLOM,BUENOS TIEMPOS,2024,POSTER
MUSIC VIDEOS,https://vimeo.com/954548653?share=copy,TAICHU FT. LALI,S.O.S,2024,CASTADIVA
MUSIC VIDEOS,https://vimeo.com/954556710?share=copy,SARAMALACARA,MAS FELIZ,2024,CASTADIVA
MUSIC VIDEOS,https://youtu.be/BNrKaLuLjFw?si=krPdVfmkPt3a6lLn,CHITA,SOLA,2024,THE MOVEMENT / LANDIA
MUSIC VIDEOS,https://vimeo.com/998984993?share=copy,SWAGGERBOYS & DILLOM,"EL MOROCHO, EL RUBIO Y EL COLO",2024,THE MOVEMENT / LANDIA
MUSIC VIDEOS,https://vimeo.com/948835251?share=copy,CONOCIENDO RUSIA & NATALIA LAFOURCADE,CINCO HORAS MENOS,2024,MAMAHUNGARA
MUSIC VIDEOS,https://vimeo.com/697182102?share=copy,JULIETA VENEGAS,MISMO AMOR,2022,LA CASA DE AL LADO
MUSIC VIDEOS,https://vimeo.com/949273720?share=copy,JULIETA VENEGAS,EN TU ORILLA,2022,LA CASA DE AL LADO
MUSIC VIDEOS,https://vimeo.com/949347671?share=copy,MARIA BECERRA,IMAN,2024,ASALTO
MUSIC VIDEOS,https://vimeo.com/920687890?share=copy,MARIA BECERRA,PRIMER AVISO,2024,ASALTO
MUSIC VIDEOS,https://vimeo.com/846342325?share=copy,MARIA BECERRA,CORAZON VACIO,2023,ASALTO
MUSIC VIDEOS,https://vimeo.com/845088941?share=copy,MARIA BECERRA,AUTOMATICO,2022,ASALTO
MUSIC VIDEOS,https://vimeo.com/849201595?share=copy,MARIA BECERRA & PRINCE ROYCE,TE ESPERO,2022,ASALTO
MUSIC VIDEOS,https://vimeo.com/843940271?share=copy,MARIA BECERRA,OJALA,2022,ASALTO
MUSIC VIDEOS,https://vimeo.com/465368190?share=copy,LOUTA,NO ME ESTAS HACIENDO UN FAVOR,2022,JAIME JAMES
MUSIC VIDEOS,https://vimeo.com/763820558?share=copy,DILLOM,PELOTUDA,2022,BOHEMIAN GROOVE CORP
MUSIC VIDEOS,https://vimeo.com/822866131?share=copy,DUKI,ANTES DE PERDERTE,2022,ANESTESIA
MUSIC VIDEOS,https://vimeo.com/755400480?share=copy,DUKI & DE LA GHETTO & QUEVEDO,SI QUIEREN FRONTEAR,2022,ANESTESIA
MUSIC VIDEOS,https://vimeo.com/358550924?share=copy,CONOCIENDO RUSIA,COSAS PARA DECIRTE,2021,PANTERA
MUSIC VIDEOS,https://vimeo.com/307361595?share=copy,ALOE,CUANDO SERA,2021,PANTERA
COMMERCIAL,https://vimeo.com/917605551?share=copy,BONAFONT MEXICO,KILOMETROS QUE NOS MUEVEN,2024,MAMA HUNGARA
COMMERCIAL,https://vimeo.com/1007472921?share=copy,LOLLAPALOZA,10 AŃOS - VERBORRAGIA,,
COMMERCIAL,https://vimeo.com/1007473774?share=copy,LOLLAPALOZA,10 AŃOS - PUNK,,
COMMERCIAL,https://vimeo.com/1053519947?share=copy,SPOTIFY,SPOTIFY SINGLES ARGENTINA,2024,POSTER
COMMERCIAL,https://vimeo.com/993548626?share=copy,MACMA,BREAST CANCER CAMPAIGN,2024,POSTER
COMMERCIAL,https://vimeo.com/850948866?share=copy,MERCADOLIBRE,BZRP X NEW ERA,2023,THE MOVEMENT / LANDIA
COMMERCIAL,https://vimeo.com/908650373?share=copy,SPOTIFY,MARIA BECERRA,2024,THE MOVEMENT / LANDIA
COMMERCIAL,https://vimeo.com/947537502?share=copy,PERSONAL,PERSONAL FLOW,2024,POSTER
COMMERCIAL,https://vimeo.com/1065521594?share=copy,HILERET,ES NATURAL QUE DISFRUTES,2023,REINO BUENOS AIRES
COMMERCIAL,https://vimeo.com/1030870124?share=copy,BETWARRIOR,DEPORTE&CASINO,2024,MAMAHUNGARA
COMMERCIAL,https://vimeo.com/847094947?share=copy,CERVEZA QUILMES,SON OTROS TIEMPOS,2024,THE MOVEMENT / LANDIA
SET DESIGN,LINK,LOLLAPALOZA SHOW,2023,,
SET DESIGN,LINK,ACCESORIOS INVIERNO,2024,,
SET DESIGN,LINK,LOCAL,2024,,
SET DESIGN,LINK,FASHION WEEK,2024,,
SET DESIGN,LINK,EDITORIAL,2024,,
FILM,https://vimeo.com/1074655468?share=copy,SOFIA PONCINI,EL PLANETARIO,2025,REBOLUCION
