PROJECT,COMPANY,YEAR
SEBASTIAN YATRA - TEMPLO DE PICEAS,THE MOVEMENT / LANDIA,2025
SEBASTIAN YATRA - LA PELIROJA,THE MOVEMENT / LANDIA,2025
BLAIR - BAR SCORPIOS,POSTER,2025
MILO J - TRES PECADOS DESPUES,ARENA COLLECTIVE,2024
MILO J - ALI OLI,ARENA COLLECTIVE,2024
DILOM - CIRUGIA,POSTER,2024
DILLOM - BUENOS TIEMPOS,POSTER,2024
TAICHU FT. LALI - S.O.S,CASTADIVA,2024
SARAMALACARA - MAS FELIZ,CASTADIVA,2024
CHITA - SOLA,THE MOVEMENT / LANDIA,2024
"SWAGGERBOYS & DILLOM - EL MOROCHO, EL RUBIO Y EL COLO",THE MOVEMENT / LANDIA,2024
CONOCIENDO RUSIA & NATALIA LAFOURCADE - CINCO HORAS MENOS,MAMAHUNGARA,2024
JULIETA VENEGAS - MISMO AMOR,LA CASA DE AL LADO,2022
JULIETA VENEGAS - EN TU ORILLA,LA CASA DE AL LADO,2022
MARIA BECERRA - IMAN,ASALTO,2024
MARIA BECERRA - PRIMER AVISO,ASALTO,2024
MARIA BECERRA - CORAZON VACIO,ASALTO,2023
MARIA BECERRA - AUTOMATICO,ASALTO,2022
MARIA BECERRA & PRINCE ROYCE - TE ESPERO,ASALTO,2022
MARIA BECERRA - OJALA,ASALTO,2022
LOUTA - NO ME ESTAS HACIENDO UN FAVOR,JAIME JAMES,2022
DILLOM - PELOTUDA,BOHEMIAN GROOVE CORP,2022
DUKI - ANTES DE PERDERTE,ANESTESIA,2022
DUKI & DE LA GHETTO & QUEVEDO - SI QUIEREN FRONTEAR,ANESTESIA,2022
CONOCIENDO RUSIA - COSAS PARA DECIRTE,PANTERA,2021
ALOE - CUANDO SERA,PANTERA,2021
BONAFONT MEXICO - KILOMETROS QUE NOS MUEVEN,MAMA HUNGARA,2024
LOLLAPALOZA - 10 AŃOS - VERBORRAGIA,,
LOLLAPALOZA - 10 AŃOS - PUNK,,
SPOTIFY - SPOTIFY SINGLES ARGENTINA,POSTER,2024
MACMA - BREAST CANCER CAMPAIGN,POSTER,2024
MERCADOLIBRE - BZRP X NEW ERA,THE MOVEMENT / LANDIA,2023
SPOTIFY - MARIA BECERRA,THE MOVEMENT / LANDIA,2024
PERSONAL - PERSONAL FLOW,POSTER,2024
HILERET - ES NATURAL QUE DISFRUTES,REINO BUENOS AIRES,2023
BETWARRIOR - DEPORTE&CASINO,MAMAHUNGARA,2024
CERVEZA QUILMES - SON OTROS TIEMPOS,THE MOVEMENT / LANDIA,2024
MARIA BECERRA - LOLLAPALOZA SHOW,,
JAZMIN CHEBAR - ACCESORIOS INVIERNO,,
LUNA ALVAREZ CASTILLO - LOCAL,,
PUMA - FASHION WEEK,,
RIES - EDITORIAL,,
SOFIA PONCINI - EL PLANETARIO,REBOLUCION,2025
